"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
11233,20000,1,1,1,1,1,0,0,0
11352,20000,1,1,0,0,1,0,0,0
11366,20000,1,0,0,0,1,0,0,0
11367,20000,0,0,0,0,1,0,0,0
11532,20000,1,0,0,0,1,0,0,0
11537,20000,1,1,0,0,1,0,0,0
11552,20000,1,1,1,0,1,0,0,0
11553,20000,1,1,1,1,1,0,0,0
11573,20000,1,1,1,1,1,1,1,1
11709,20000,1,1,0,1,1,1,1,1
11716,20000,0,0,0,1,1,1,1,1
11730,20000,0,0,0,0,1,1,1,1
11850,20000,0,0,0,1,1,1,1,1
11858,20000,1,0,0,1,1,1,1,1
11860,20000,1,1,0,1,1,1,1,1
11863,20000,1,1,1,1,1,1,1,1
12041,20000,1,1,0,1,1,1,1,1
12048,20000,0,1,0,1,1,1,1,1
12049,20000,0,0,0,1,1,1,1,1
12061,20000,0,0,0,0,1,1,1,1
12184,20000,0,0,0,1,1,1,1,1
12191,20000,1,0,0,1,1,1,1,1
12194,20000,1,1,0,1,1,1,1,1
12197,20000,1,1,1,1,1,1,1,1
12374,20000,1,1,0,1,1,1,1,1
12380,20000,0,1,0,1,1,1,1,1
12381,20000,0,0,0,1,1,1,1,1
12393,20000,0,0,0,0,1,1,1,1
12473,20000,0,0,0,0,1,0,0,1
12521,20000,0,0,0,0,1,0,0,0
12534,20000,1,0,0,0,1,0,0,0
12539,20000,1,1,0,0,1,0,0,0
12554,20000,1,1,1,0,1,0,0,0
12556,20000,1,1,1,1,1,0,0,0
12682,20000,1,1,0,1,1,0,0,0
12683,20000,1,1,1,1,1,0,0,0
12684,20000,1,1,0,1,1,0,0,0
12685,20000,1,1,0,0,1,0,0,0
12698,20000,1,0,0,0,1,0,0,0
12699,20000,0,0,0,0,1,0,0,0
12865,20000,1,0,0,0,1,0,0,0
12870,20000,1,1,0,0,1,0,0,0
12884,20000,1,1,1,0,1,0,0,0
12886,20000,1,1,1,1,1,0,0,0
13018,20000,1,1,0,1,1,0,0,0
13021,20000,1,1,0,0,1,0,0,0
13034,20000,0,0,0,0,1,0,0,0
13198,20000,1,0,0,0,1,0,0,0
13203,20000,1,1,0,0,1,0,0,0
13217,20000,1,1,1,1,1,0,0,0
13293,20000,1,1,1,1,1,1,0,0
13301,20000,1,1,1,1,1,1,1,1
13375,20000,1,1,0,1,1,1,1,1
13382,20000,0,0,0,1,1,1,1,1
13397,20000,0,0,0,0,1,1,1,1
13515,20000,0,0,0,1,1,1,1,1
13522,20000,1,0,0,1,1,1,1,1
13525,20000,1,1,0,1,1,1,1,1
13528,20000,1,1,1,1,1,1,1,1
13708,20000,1,1,0,1,1,1,1,1
13714,20000,0,1,0,1,1,1,1,1
13715,20000,0,0,0,1,1,1,1,1
13728,20000,0,0,0,0,1,1,1,1
13850,20000,0,0,0,1,1,1,1,1
13856,20000,1,0,0,1,1,1,1,1
13859,20000,1,1,0,1,1,1,1,1
13862,20000,1,1,1,1,1,1,1,1
14040,20000,1,1,0,1,1,1,1,1
14047,20000,0,1,0,1,1,1,1,1
14048,20000,0,0,0,1,1,1,1,1
14060,20000,0,0,0,0,1,1,1,1
14133,20000,0,0,0,0,1,0,0,0
14199,20000,1,0,0,0,1,0,0,0
14204,20000,1,1,0,0,1,0,0,0
14218,20000,1,1,1,0,1,0,0,0
14221,20000,1,1,1,1,1,0,0,0
14350,20000,1,1,0,1,1,0,0,0
14352,20000,1,1,0,0,1,0,0,0
14364,20000,1,0,0,0,1,0,0,0
14366,20000,0,0,0,0,1,0,0,0
14530,20000,1,0,0,0,1,0,0,0
14535,20000,1,1,0,0,1,0,0,0
14550,20000,1,1,1,0,1,0,0,0
14551,20000,1,1,1,1,1,0,0,0
14685,20000,1,1,0,1,1,0,0,0
14686,20000,1,1,0,0,1,0,0,0
14700,20000,1,0,0,0,1,0,0,0
14701,20000,0,0,0,0,1,0,0,0
14863,20000,1,0,0,0,1,0,0,0
14868,20000,1,1,0,0,1,0,0,0
14882,20000,1,1,1,0,1,0,0,0
14883,20000,1,1,1,1,1,0,0,0
14973,20000,1,1,1,1,1,1,1,1
15042,20000,1,1,0,1,1,1,1,1
15048,20000,0,0,0,1,1,1,1,1
15063,20000,0,0,0,0,1,1,1,1
15180,20000,0,0,0,1,1,1,1,1
15187,20000,1,0,0,1,1,1,1,1
15190,20000,1,1,0,1,1,1,1,1
