"timestamp (abs)","sample rate (Hz)","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
8766,10000,1,1,0,1,1,1,1,1
8768,10000,1,0,0,1,1,1,1,1
8773,10000,0,0,0,0,1,1,1,1
8784,10000,0,0,0,0,1,0,0,0
8814,10000,0,0,0,0,1,1,0,0
8818,10000,0,0,0,0,1,1,1,1
8832,10000,1,0,0,1,1,1,1,1
8833,10000,1,1,0,1,1,1,1,1
8835,10000,1,1,1,1,1,1,1,1
8932,10000,1,1,0,1,1,1,1,1
8934,10000,1,0,0,1,1,1,1,1
8939,10000,1,0,0,0,1,1,1,1
8940,10000,0,0,0,0,1,1,1,1
8964,10000,0,0,0,0,1,0,0,0
9005,10000,1,0,0,0,1,0,0,0
9006,10000,1,1,0,0,1,0,0,0
9011,10000,1,1,1,0,1,0,0,0
9012,10000,1,1,1,1,1,0,0,0
9088,10000,1,1,0,1,1,0,0,0
9090,10000,1,1,0,0,1,0,0,0
9093,10000,1,0,0,0,1,0,0,0
9101,10000,0,0,0,0,1,0,0,0
9171,10000,1,0,0,0,1,0,0,0
9172,10000,1,1,0,0,1,0,0,0
9177,10000,1,1,1,0,1,0,0,0
9178,10000,1,1,1,1,1,0,0,0
9234,10000,1,1,1,1,1,1,0,0
9238,10000,1,1,1,1,1,1,1,1
9266,10000,1,1,0,1,1,1,1,1
9268,10000,1,0,0,1,1,1,1,1
9273,10000,1,0,0,0,1,1,1,1
9274,10000,0,0,0,0,1,1,1,1
9294,10000,0,0,0,0,1,0,0,0
9338,10000,1,0,0,0,1,0,0,0
9339,10000,1,1,0,0,1,0,0,0
9344,10000,1,1,1,1,1,0,0,0
9422,10000,1,1,0,1,1,0,0,0
9424,10000,1,1,0,0,1,0,0,0
9427,10000,1,0,0,0,1,0,0,0
9434,10000,0,0,0,0,1,0,0,0
9504,10000,1,0,0,0,1,0,0,0
9505,10000,1,1,0,0,1,0,0,0
9511,10000,1,1,1,1,1,0,0,0
9589,10000,1,1,0,1,1,0,0,0
9590,10000,1,1,0,0,1,0,0,0
9594,10000,1,0,0,0,1,0,0,0
9601,10000,0,0,0,0,1,0,0,0
9671,10000,1,0,0,0,1,0,0,0
9672,10000,1,1,0,0,1,0,0,0
9677,10000,1,1,1,1,1,0,0,0
9755,10000,1,1,0,1,1,0,0,0
9757,10000,1,1,0,0,1,0,0,0
9760,10000,1,0,0,0,1,0,0,0
9767,10000,0,0,0,0,1,0,0,0
9784,10000,0,0,0,0,1,1,1,1
9831,10000,0,0,0,1,1,1,1,1
9833,10000,1,1,0,1,1,1,1,1
9835,10000,1,1,1,1,1,1,1,1
9932,10000,1,1,0,1,1,1,1,1
9935,10000,1,0,0,1,1,1,1,1
9939,10000,0,0,0,0,1,1,1,1
9999,10000,0,0,0,1,1,1,1,1
10000,10000,1,1,0,1,1,1,1,1
10002,10000,1,1,1,1,1,1,1,1
10098,10000,1,1,0,1,1,1,1,1
10100,10000,1,0,0,1,1,1,1,1
10104,10000,0,0,0,0,1,0,0,1
10108,10000,0,0,0,0,1,0,0,0
10171,10000,1,0,0,0,1,0,0,0
10172,10000,1,1,0,0,1,0,0,0
10178,10000,1,1,1,1,1,0,0,0
10255,10000,1,1,0,1,1,0,0,0
10256,10000,1,1,0,0,1,0,0,0
10260,10000,1,0,0,0,1,0,0,0
10267,10000,0,0,0,0,1,0,0,0
10337,10000,1,0,0,0,1,0,0,0
10339,10000,1,1,0,0,1,0,0,0
10344,10000,1,1,1,1,1,0,0,0
10422,10000,1,1,0,1,1,0,0,0
10423,10000,1,1,0,0,1,0,0,0
10427,10000,1,0,0,0,1,0,0,0
10434,10000,0,0,0,0,1,0,0,0
10504,10000,1,0,0,0,1,0,0,0
10505,10000,1,1,0,0,1,0,0,0
10510,10000,1,1,1,0,1,0,0,0
10511,10000,1,1,1,1,1,0,0,0
10544,10000,1,1,1,1,1,1,0,0
10548,10000,1,1,1,1,1,1,1,1
10599,10000,1,1,0,1,1,1,1,1
10601,10000,1,0,0,1,1,1,1,1
10606,10000,1,0,0,0,1,1,1,1
10607,10000,0,0,0,0,1,1,1,1
10665,10000,0,0,0,1,1,1,1,1
10666,10000,1,1,0,1,1,1,1,1
10668,10000,1,1,1,1,1,1,1,1
10765,10000,1,1,0,1,1,1,1,1
10767,10000,1,0,0,1,1,1,1,1
10771,10000,1,0,0,0,1,1,1,1
10772,10000,0,0,0,0,1,1,1,1
10832,10000,0,0,0,1,1,1,1,1
10833,10000,1,1,0,1,1,1,1,1
10836,10000,1,1,1,1,1,1,1,1
10930,10000,1,1,0,1,1,1,1,1
10931,10000,1,0,0,1,1,1,1,1
10937,10000,0,0,0,0,1,1,1,1
10974,10000,0,0,0,0,1,0,0,1
10978,10000,0,0,0,0,1,0,0,0
11006,10000,1,0,0,0,1,0,0,0
11007,10000,1,1,0,0,1,0,0,0
11012,10000,1,1,1,0,1,0,0,0
11013,10000,1,1,1,1,1,0,0,0
11044,10000,1,1,1,1,1,1,1,1
11097,10000,1,0,0,1,1,1,1,1
11103,10000,0,0,0,0,1,1,1,1
